rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,latitude_dec,longitude_dec,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,DELHI,NORTH,NARELA,BAWANA,NA,NA,1,1/33/001/000003/000044/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,202/2,28.799167,77.036944,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4053,3242,Nil/Negligible filled up,Usually filled up,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BAWANA,NA,NA,6,1/33/001/000003/000044/006,NA,Ganga Basin,Yamuna Upper,Ponds,NA,161/1,28.788056,77.026667,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,323,258,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,GHOGA,NA,NA,1,1/33/001/000003/000047/001,Village Ghoga MPCC Building ,Ganga Basin,Yamuna Middle,Others,Encroached MPCC Building Exist,180(05-11),28.830833,77.049722,Others,Panchayat,No,NA,NA,NA,Construction,Natural,NA,NA,NA,2008,700000,No,NA,NA,NA,NA,NA,NA,0.306,3,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MADAN PUR DABAS,NA,NA,2,1/33/003/000008/000108/002,Mata Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,76,28.716667,77.028333,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,13761,11008,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,LAM PUR,NA,NA,1,1/33/001/000003/000053/001,Village Lampur Near Mohalla Clinic ,Ganga Basin,Yamuna Lower,Ponds,NA,85/2(6-11),28.852222,77.064444,Others,Panchayat,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,2010,800000,No,NA,NA,NA,NA,NA,NA,0.324,NA,4000,1500,Nil/Negligible filled up,Never filled up,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,NORTH,NARELA,BAWANA,NA,NA,8,1/33/001/000003/000044/008,NA,Ganga Basin,Yamuna Upper,Ponds,NA,206,28.793889,77.036111,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,12629,10103,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,MALIKPUR ZER,NA,NA,1,1/33/005/000015/000225/001,Near temple and open gym ,Ganga Basin,Yamuna Middle,Ponds,NA,"58, 59//71",28.549167,76.898611,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,16000,16000,Upto 1/2,Rarely filled up,1,1,50,Not Known,NA,NA,Yes,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,MADAN PUR DABAS,NA,NA,1,1/33/003/000008/000108/001,Mata Mansa Devi Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,79,28.708611,77.023333,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,24334,19467,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,RANI KHERA,NA,NA,2,1/33/003/000008/000109/002,NA,Ganga Basin,Yamuna Upper,Ponds,NA,74/2,28.709167,77.018056,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,17366,13892,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,RANI KHERA,NA,NA,3,1/33/003/000008/000109/003,Near Mndir Dhaka Talab,Ganga Basin,Yamuna Upper,Ponds,NA,"89,90",28.704167,77.029167,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4160,3328,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
