rural_or_urban,State Name,District Name,Block/Tehsil Name,Village Name,town_municipalty_name,ward_name,si_no_of_water_body_within_village_town,unique_id,water_body_name,basin_name,sub_basin_name,ref_water_body_type_id_name,nature_of_storage,khasra_number,latitude_dec,longitude_dec,water_body_loc_name,water_body_ownership_name,ref_water_body_in_use_id_name,ref_reason_water_body_in_use_id1_name,cca_water_body,ipc_water_body,scheme_status_reason_name,water_body_nature_name,manmade_water_body_type_name,construcion_year,construction_cost,renovation_year,renovation_cost,ref_water_body_under_repair_renovation_restoration_id_name,scheme_under_revival_is_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,target_potential_revival,irrigation_potential_revived,water_spread_area_of_water_body,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage_name,filled_up_storage_space_name,no_town_cities_benefited,no_villages_benefited,no_people_benefited_by_water_body,ref_selection_id_wua_exists_name,extent_of_area_covered_by_wua,number_of_wua_formed,ref_selection_id_dip_sip_exists_name,ref_selection_id_water_body_encroached_name,ref_selection_id_encroachment_assessed_name,area_encroached_percentage,reason_water_body_in_use_name2,reason_water_body_in_use_name3
Rural,DELHI,NORTH WEST,SARASWATI VIHAR,PITAMPURA,NA,NA,2,1/33/003/000009/000122/002,Village harsh vihar,Ganga Basin,Yamuna Upper,Others,dda park,District park harsh vihar,28.699722,77.140278,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,2015,100000,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,ASLAT PUR KHAWAD,NA,NA,2,1/33/005/000014/000183/002,main road,Ganga Basin,Yamuna Middle,Ponds,NA,6/2 & 15/2 (7-14),28.541389,76.927500,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,10350,10350,Nil/Negligible filled up,Filled up every year,0,1,300,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,REWLA KHANPUR,NA,NA,10,1/33/005/000014/000204/010,Rewla khanpur,Ganga Basin,Yamuna Middle,Ponds,NA,74,28.574722,76.985833,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7200,7200,Nil/Negligible filled up,Filled up every year,0,1,2000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NEW DELHI,DELHI CANT.,SHAHBAD MOHD. PUR,NA,NA,3,1/33/011/000030/000354/003,dda water body,Ganga Basin,Yamuna Middle,Ponds,NA,1/535,28.555278,77.069444,Others,Other Govt.Agency,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,20,15,Nil/Negligible filled up,Never filled up,1,1,100,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,BADU SARAI,NA,NA,1,1/33/005/000014/000184/001,near govt school,Ganga Basin,Yamuna Middle,Ponds,NA,44(13-10),28.529722,76.987222,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,14104,14104,Nil/Negligible filled up,Filled up every year,0,1,800,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,GHUMAN HERA,NA,NA,2,1/33/005/000014/000191/002,NA,Ganga Basin,Yamuna Middle,Ponds,NA,104 (10-12),28.531944,76.918611,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5000,5000,Nil/Negligible filled up,Filled up every year,0,1,600,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,GHUMAN HERA,NA,NA,3,1/33/005/000014/000191/003,NA,Ganga Basin,Yamuna Middle,Ponds,NA,99 (18-09),28.533611,76.923056,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6000,6000,Nil/Negligible filled up,Filled up every year,0,1,800,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,GHUMAN HERA,NA,NA,5,1/33/005/000014/000191/005,NA,Ganga Basin,Yamuna Middle,Ponds,NA,101 (04-10),28.536944,76.925556,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7000,7000,Nil/Negligible filled up,Filled up every year,0,1,400,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,JHATIKRA,NA,NA,2,1/33/005/000014/000209/002,near kabristan,Ganga Basin,Yamuna Middle,Ponds,NA,95,28.517778,76.964722,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4000,4000,Nil/Negligible filled up,Filled up every year,0,1,200,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,KANGAN HERI,NA,NA,2,1/33/005/000014/000194/002,near bank,Ganga Basin,Yamuna Middle,Ponds,NA,111 (13-10),28.545556,76.988056,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4000,4000,Nil/Negligible filled up,Filled up every year,0,1,600,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,KANGAN HERI,NA,NA,4,1/33/005/000014/000194/004,near main jhatikra road,Ganga Basin,Yamuna Middle,Ponds,NA,83 (04-04),28.547500,76.971667,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6000,6000,Nil/Negligible filled up,Filled up every year,0,1,500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,AUCHANDI,NA,NA,2,1/33/001/000003/000059/002,NA,Ganga Basin,Yamuna Upper,Ponds,NA,85,28.820556,76.998333,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,9587,7670,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,AUCHANDI,NA,NA,3,1/33/001/000003/000059/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,88,28.817778,76.996667,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6084,4867,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,AUCHANDI,NA,NA,4,1/33/001/000003/000059/004,Near Shiv Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,89,28.823056,76.991389,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,16200,12960,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,JHATIKRA,NA,NA,3,1/33/005/000014/000209/003,Encroached water body,Ganga Basin,Yamuna Middle,Others,ENCROACHMENT,96,28.519167,76.962778,Others,Other Govt.Agency,No,NA,NA,NA,Construction,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,2,0,No,Yes,Yes,50,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,RAWTA,NA,NA,4,1/33/005/000014/000203/004,near harijan mohalla,Ganga Basin,Yamuna Middle,Ponds,NA,214 (9-7),28.520556,76.901944,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5000,5000,Nil/Negligible filled up,Filled up every year,0,1,400,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PINDWALAN KHURD,NA,NA,1,1/33/005/000014/000200/001,Few metre away from share investment point,Ganga Basin,Yamuna Middle,Others,Encroachment,44,28.558889,76.961944,Others,Panchayat,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,No,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,RAWTA,NA,NA,6,1/33/005/000014/000203/006,NA,Ganga Basin,Yamuna Middle,Ponds,NA,37/26 (6-15),28.535833,76.888056,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,8000,8000,Nil/Negligible filled up,Filled up every year,0,1,500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,KANJHAWLA,NA,NA,3,1/33/003/000007/000100/003,Dada Shyam Temple,Ganga Basin,Yamuna Upper,Ponds,NA,142/127,28.735556,77.008333,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,26055,20844,Nil/Negligible filled up,Filled up every year,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,LADPUR,NA,NA,2,1/33/003/000007/000101/002,Near Kanjhawala Store back side,Ganga Basin,Yamuna Upper,Ponds,NA,"76/2/1,76/2/2, 80/14/2, 80/17/1, 81/22",28.738056,77.000278,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,25616,20492,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,NAJAFGARH,NA,NA,3,1/33/005/000015/000238/003,Near dtc terminal,Ganga Basin,Yamuna Middle,Ponds,NA,"12/11/1, 12/12",28.615556,76.977500,Others,Other Govt.Agency,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,1500,1500,Nil/Negligible filled up,Filled up every year,0,1,2795,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PINDWALAN KALAN,NA,NA,1,1/33/005/000014/000199/001,Eaten wala johad  near shanti garden,Ganga Basin,Yamuna Middle,Ponds,NA,57,28.567222,76.964722,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,9000,9000,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PINDWALAN KALAN,NA,NA,3,1/33/005/000014/000199/003,Ram talab mandir,Ganga Basin,Yamuna Middle,Ponds,NA,73,28.561667,76.954167,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6000,6000,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PINDWALAN KHURD,NA,NA,5,1/33/005/000014/000200/005,Near hanuman mandir and govt girls school ,Ganga Basin,Yamuna Middle,Others,encroachment,NA,28.561389,76.967500,Others,Panchayat,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JONTI,NA,NA,4,1/33/003/000007/000098/004,NA,Ganga Basin,Yamuna Upper,Ponds,NA,28-07-2002,28.753889,76.957500,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,760,608,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,CHHAWLA,NA,NA,1,1/33/005/000014/000186/001,Behind MCD school,Ganga Basin,Yamuna Middle,Ponds,NA,Jul-27,28.567222,77.000833,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,2250,2250,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,CHHAWLA,NA,NA,2,1/33/005/000014/000186/002,Sidhipith mandir on tejpur road ,Ganga Basin,Yamuna Middle,Ponds,NA,196/1,28.567222,77.004167,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6000,6000,Nil/Negligible filled up,Filled up every year,0,1,1000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PAPRAWAT,NA,NA,3,1/33/005/000014/000198/003,Mithiya johad,Ganga Basin,Yamuna Middle,Ponds,NA,181,28.585556,76.975000,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6000,6000,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,PAPRAWAT,NA,NA,5,1/33/005/000014/000198/005,Piliya johad,Ganga Basin,Yamuna Middle,Ponds,NA,146,28.588611,76.975833,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4000,4000,Nil/Negligible filled up,Never filled up,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,RAWTA,NA,NA,5,1/33/005/000014/000203/005,NA,Ganga Basin,Yamuna Middle,Ponds,NA,42/26 (3-1),28.512778,76.893889,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7000,7000,Nil/Negligible filled up,Filled up every year,0,1,400,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,TATESAR,NA,NA,1,1/33/003/000007/000094/001,Near Shiv Mandir,Ganga Basin,Yamuna Upper,Ponds,NA,"17/2,3,8",28.755833,76.964444,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,25445,20356,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,KANJHAWLA,NA,NA,5,1/33/003/000007/000100/005,NA,Ganga Basin,Yamuna Upper,Ponds,NA,30/14/2,28.738333,77.004722,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,8987,7189,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,LADPUR,NA,NA,1,1/33/003/000007/000101/001,Near Balmiki Basti,Ganga Basin,Yamuna Upper,Ponds,NA,"77/22/3,23/2,24/1",28.736111,76.997778,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7144,5715,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,PUNJAB KHOR,NA,NA,1,1/33/003/000007/000104/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,515,28.772500,76.963611,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,21680,17344,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,QUTABGARH,NA,NA,1,1/33/003/000007/000105/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,"58/8, 13",28.795278,76.961111,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,6686,5348,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,MUNGESHP UR,NA,NA,1,1/33/001/000003/000055/001,NA,Ganga Basin,Yamuna Upper,Ponds,NA,49,28.819444,76.976667,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7500,6000,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,NITHARI,NA,NA,5,1/33/003/000008/000112/005,NA,Ganga Basin,Yamuna Upper,Others,Abandoned and encroached,24-Mar,28.708056,77.053889,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,Yes,Yes,100,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,SHIKARPUR,NA,NA,1,1/33/005/000014/000206/001,near mandir,Ganga Basin,Yamuna Middle,Ponds,NA,96 (17-18),28.528333,76.955833,Others,Panchayat,Yes,Other,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5000,5000,Nil/Negligible filled up,Filled up every year,NA,1,600,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,KANJHAWLA,NA,NA,1,1/33/003/000007/000100/001,Dada Shyam Temple,Ganga Basin,Yamuna Upper,Ponds,NA,42/2,28.731389,77.002222,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,42918,34334,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JONTI,NA,NA,3,1/33/003/000007/000098/003,Near MCD School,Ganga Basin,Yamuna Upper,Ponds,NA,04-04-2002,28.763056,76.981667,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,13481,10785,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,KANJHAWLA,JONTI,NA,NA,7,1/33/003/000007/000098/007,NA,Ganga Basin,Yamuna Upper,Ponds,NA,19/22,28.756111,76.969722,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,2731,2185,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,NAJAFGARH,NA,NA,2,1/33/005/000015/000238/002,Dhanak chaupal and community centre exist,Ganga Basin,Yamuna Middle,Others,Encroached by chaupal,23/23/1,28.609167,76.985556,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,No,NA,NA,NA
Rural,DELHI,NORTH,NARELA,NANGAL THAKRAN,NA,NA,4,1/33/001/000003/000056/004,NA,Ganga Basin,Yamuna Upper,Ponds,NA,"81,83",28.806667,77.009444,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,7646,6116,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,NANGAL THAKRAN,NA,NA,5,1/33/001/000003/000056/005,NA,Ganga Basin,Yamuna Upper,Ponds,NA,90,28.791111,77.015278,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,29,23,Nil/Negligible filled up,Rarely filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,KAPAS HERA,TAJPUR KHURD,NA,NA,1,1/33/005/000014/000207/001,Near shani mandir,Ganga Basin,Yamuna Middle,Ponds,NA,"33,34",28.576389,77.012778,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4000,4000,Nil/Negligible filled up,Filled up every year,0,1,1500,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,ROHINI,KIRARI SULEMAN NAGAR,NA,NA,3,1/33/003/000008/000113/003,NA,Ganga Basin,Yamuna Upper,Ponds,NA,966,28.697500,77.060000,Others,Other Govt.Agency,No,NA,NA,NA,Due to industrial effluents,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,22720,18176,Nil/Negligible filled up,Usually filled up,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,DWARKA,POCHANPUR,NA,NA,5,1/33/005/000013/000176/005,NA,NA,NA,Others,encroachment,NA,28.566944,77.050278,Others,Panchayat,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,NAJAFGARH,NA,NA,4,1/33/005/000015/000238/004,Near dhanak chaupal,Ganga Basin,Yamuna Middle,Others,encroachment,23/13/2,28.610556,76.986389,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,No,NA,NA,NA
Rural,DELHI,SOUH WEST,NAJAFGARH,KHAIRA,NA,NA,1,1/33/005/000015/000223/001,Khaira pond  near khaira jhod wala mandir ,Ganga Basin,Yamuna Middle,Ponds,NA,178,28.590000,76.961111,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,3000,3000,Nil/Negligible filled up,Filled up every year,0,1,1200,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,SARASWATI VIHAR,HAIDERPUR,NA,NA,2,1/33/003/000009/000123/002,Near Govind Mohalla,Ganga Basin,Yamuna Middle,Ponds,NA,198,28.721111,77.148333,Others,Other Govt.Agency,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,25000,20000,Upto 1/4,Rarely filled up,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,SARASWATI VIHAR,SAHI PUR,NA,NA,1,1/33/003/000009/000124/001,Village Sahi Pur,Ganga Basin,Yamuna Middle,Others,Park,184/28/2,28.719444,77.155000,Others,Other Govt.Agency,No,NA,NA,NA,Others,Natural,NA,NA,NA,2000,850000,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,SARASWATI VIHAR,HAIDERPUR,NA,NA,3,1/33/003/000009/000123/003,Near VIPS College,Ganga Basin,Yamuna Upper,Ponds,NA,712,28.719722,77.142778,Others,Co-operative,No,NA,NA,NA,Dried-up,Natural,NA,NA,NA,2002,756000,No,NA,NA,NA,NA,NA,NA,0.001,2,35000,15000,Upto 1/4,Rarely filled up,NA,NA,NA,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BARWALA,NA,NA,2,1/33/001/000003/000067/002,Village Barwala Water Body,NA,NA,Ponds,NA,87/4,28.763611,77.062778,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,5000,1800,Upto 3/4,Rarely filled up,1,1,112000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,BARWALA,NA,NA,3,1/33/001/000003/000067/003,Village Barwala Water Body,NA,NA,Ponds,NA,87/6,28.763333,77.062222,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4500,2100,Upto 3/4,Rarely filled up,1,1,112000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH,NARELA,PEHLAD PUR BANGAR,NA,NA,2,1/33/001/000003/000068/002,Village Prehladpur Banger Water Body,NA,NA,Ponds,NA,46/26,28.750278,77.076389,Others,Panchayat,Yes,Ground water recharge,NA,NA,NA,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,4150,1950,Upto 3/4,Never filled up,1,1,105000,Not Known,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,SHAHDARA,SHAHDARA,BABARPUR,NA,NA,3,1/33/009/000025/000315/003,NA,NA,NA,Others,CHAT GHAT,NA,28.687778,77.281389,Others,Other private body,No,NA,NA,NA,Others,Natural,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,No,No,NA,NA,NA,NA
Rural,DELHI,NORTH WEST,SARASWATI VIHAR,WAZIRPUR,NA,NA,1,1/33/003/000009/000127/001,Ch Lekhram Park,Ganga Basin,Yamuna Upper,Others,Park,532/2(19-4),28.691944,77.171944,Others,Muncipal authority,No,NA,NA,NA,Others,Natural,NA,NA,NA,2001,120000,No,NA,NA,NA,NA,NA,NA,0.001,1,NA,NA,NA,NA,NA,NA,NA,Not Known,NA,NA,No,Yes,Yes,100,NA,NA
